year,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1750,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.18574567415812035,0.07362139369420888,0.0,0.2593670678523292,0.2593670678523292
1751,0.001598198395741206,0.0005314883021899806,8.546860278074256e-05,8.615194286775818e-10,0.0002,-0.0,6.871513140876471e-05,0.0,0.00046590318271298725,0.0005257746104115512,-0.00028111531655108425,-0.00022945725475492765,0.1857567460517512,0.05527510463170887,0.0029649765154586487,0.24103185068346006,0.24399682719891871
1752,0.00319597135743214,0.001062653391712661,0.00017092972980488027,1.7230388573551636e-09,0.0004,-0.0,0.00013738847525453885,0.0,0.0007492590975498245,0.0007121887624629401,-0.00037820735359282975,-0.0004589145095098553,0.1857604715824308,0.02519717494420888,0.005591270674153156,0.21095764652663967,0.21654891720079283
1753,0.004793319131106945,0.0015934958113525432,0.00025638338186561335,2.5845582860604564e-09,0.0006000000000000001,-0.0,0.00020602010171291845,0.0,0.0004680408880116879,0.0004891614608888571,-0.00029127611112522136,-0.0006883717642647817,0.1857617169069504,-0.010980583844853616,0.007426775484106848,0.17478113306209678,0.1822079085462036
1754,0.006390241962593357,0.002124016102343165,0.00034182955975729416,3.446077714738038e-09,0.0008,-0.0,0.00027461008075897823,0.0,-0.0003082673354974051,-0.00036588912938521976,1.6934657623560138e-05,-0.0009178290190197106,0.18576213564093827,-0.04539547642297862,0.008355650325251733,0.14036665921795966,0.1487223095432114
1755,0.007986740097500602,0.0026542148043741604,0.00042726826427303246,4.30759714341562e-09,0.001,-0.0,0.00034315848216818454,0.0,0.0001538499781388522,-3.99214179257839e-05,1.5805680448658802e-05,-0.001147286273774637,0.16149051004268924,-0.06987279575891611,0.011393833922800214,0.09161771428377313,0.10301154820657335
1756,0.009582813781227046,0.0031840924555972235,0.0005126994962054936,5.1691165720932015e-09,0.0012,-0.0,0.00041166537551716627,0.0,0.000407599399759314,0.0003460496660251685,-0.00032627440354724297,-0.001376743528529566,-0.06413990375550595,-0.0774546805245411,0.013941907411371178,-0.14159458428004706,-0.12765267686867587
1757,0.01117846325895303,0.0037136495926318324,0.0005981232563488944,6.0306360007707836e-09,0.0014,-0.0,0.000480130830184455,0.0,-0.00045031693513307436,-0.001120545597811621,0.0005656175646268876,-0.0016062007832844923,0.06548148963396255,-0.058312761579228614,0.014758927217151913,0.007168728054733939,0.02192765527188585
1758,0.012773688775653482,0.004242886750572063,0.0006835395454950114,6.892155429476076e-09,0.0016,-0.0,0.0005485549153513659,0.0,-0.0001530356497950712,-0.0006618327557041396,0.00025740679587810605,-0.0018356580380394212,0.143706674085902,-0.006955632672978618,0.017455557231566825,0.13675104141292338,0.1542065986444902
1759,0.014368490576087021,0.004771804462991945,0.0007689483644371727,7.753674858153659e-09,0.0018000000000000004,-0.0,0.0006169377000026903,0.0,-0.0002412874112683247,-0.0005587608013609281,0.0002201505491062768,-0.0020651152927943475,0.17156026373747926,0.04354346400670888,0.019681175900876365,0.21510372774418815,0.23478490364506452
